Name,HoF,Yrs,WAR,WAR7,JAWS,Jpos,JAWSratio,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPSadj
Pedro Guerrero,No,15,34.5,32,33.2,53.6,61.94029851,1536,5392,730,1618,215,898,97,609,0.3,0.37,0.48,0.85,137
Pee Wee Reese,Yes,16,66.3,40.9,53.6,55.3,96.92585895,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99
Pep Young,No,10,6,7,6.5,57,11.40350877,730,2466,274,645,32,347,18,152,0.262,0.308,0.38,0.688,85
Pepper Martin,No,13,17.4,16.6,17,58,29.31034483,1189,4117,756,1227,59,501,146,369,0.298,0.358,0.443,0.801,113
Pete Reiser,No,10,21.8,21.5,21.6,58,37.24137931,861,2662,473,786,58,368,87,343,0.295,0.38,0.45,0.829,128
Pete Rose,No,24,79.7,44.9,62.3,53.6,116.2313433,3562,14053,2165,4256,160,1314,198,1566,0.303,0.375,0.409,0.784,118
Phil Cavarretta,No,22,34.6,25.2,29.9,54.2,55.16605166,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118
Phil Garner,No,16,29.7,23.3,26.5,57,46.49122807,1860,6136,780,1594,109,738,225,564,0.26,0.323,0.389,0.711,99
Phil Rizzuto,Yes,13,40.8,33.8,37.3,55.3,67.45027125,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93
Pie Traynor,Yes,17,36.3,25.7,31,55.7,55.65529623,1941,7559,1183,2416,58,1273,158,472,0.32,0.362,0.435,0.797,107
Ping Bodie,No,9,14.7,15.7,15.2,58,26.20689655,1050,3670,393,1011,43,514,83,312,0.275,0.335,0.396,0.731,109
Pinky Higgins,No,14,27.5,21,24.3,55.7,43.62657092,1802,6636,931,1941,140,1075,61,800,0.292,0.37,0.428,0.798,107
Placido Polanco,No,16,41.5,32.3,36.9,56.9,64.85061511,1927,7214,1009,2142,104,723,81,429,0.297,0.343,0.397,0.74,95
Prince Fielder,No,12,23.8,24.9,24.4,54.2,45.01845018,1611,5821,862,1645,319,1028,18,847,0.283,0.382,0.506,0.887,134
Rabbit Maranville,Yes,23,42.9,30.5,36.7,55.3,66.36528029,2670,10078,1256,2605,28,884,291,839,0.258,0.318,0.34,0.658,82
Rafael Palmeiro,No,20,71.9,38.9,55.4,54.2,102.2140221,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132
Ralph Kiner,Yes,10,49.4,43.7,46.5,53.6,86.75373134,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149
Raul Ibanez,No,19,20.4,20.1,20.2,53.7,37.61638734,2161,7471,1055,2034,305,1207,50,713,0.272,0.335,0.465,0.801,111
Ray Blades,No,10,15.1,15.2,15.1,53.6,28.17164179,767,2415,467,726,50,340,33,331,0.301,0.395,0.46,0.855,123
Ray Chapman,No,9,29.1,27.2,28.2,55.3,50.99457505,1051,3785,671,1053,17,364,238,452,0.278,0.358,0.377,0.735,111
Ray Knight,No,13,13.3,15.9,14.6,55.7,26.21184919,1495,4829,490,1311,84,595,14,343,0.271,0.321,0.39,0.711,99
Ray Schalk,Yes,18,28.6,22.1,25.3,44.2,57.239819,1762,5306,579,1345,11,593,177,638,0.253,0.34,0.316,0.656,83
Red Dooin,No,15,3.8,6.7,5.3,44.2,11.99095023,1290,4004,333,961,10,344,133,155,0.24,0.272,0.298,0.57,22
Red Kress,No,14,16.5,16.9,16.7,55.3,30.19891501,1391,5087,691,1454,89,799,46,474,0.286,0.347,0.42,0.767,97
Red Murray,No,11,16,15.6,15.8,57.2,27.62237762,1264,4334,554,1170,37,575,321,299,0.27,0.323,0.379,0.702,108
Red Rolfe,No,10,23.5,22.2,22.8,55.7,40.93357271,1175,4827,942,1394,69,497,44,526,0.289,0.36,0.413,0.773,99
Red Schoendienst,Yes,19,42.3,31.7,37,57,64.9122807,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94
Reggie Jackson,Yes,21,74,46.8,60.4,57.2,105.5944056,2820,9864,1551,2584,563,1702,228,1375,0.262,0.356,0.49,0.846,139
Reggie Smith,No,17,64.6,38.7,51.7,57.2,90.38461538,1987,7033,1123,2020,314,1092,137,890,0.287,0.366,0.489,0.855,137
Richie Ashburn,Yes,15,63.9,44.5,54.2,58,93.44827586,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111
Richie Hebner,No,18,33,23.4,28.2,55.7,50.62836625,1908,6144,865,1694,203,890,38,687,0.276,0.352,0.438,0.79,119
Rick Dempsey,No,24,25.1,17.2,21.2,44.2,47.9638009,1765,4692,525,1093,96,471,20,592,0.233,0.319,0.347,0.666,87
Rick Ferrell,Yes,18,29.8,19.9,24.8,44.2,56.10859729,1884,6028,687,1692,28,734,29,931,0.281,0.378,0.363,0.741,95
Rick Monday,No,19,33.1,22.9,28,58,48.27586207,1986,6136,950,1619,241,775,98,924,0.264,0.361,0.443,0.804,125
Rick Petrocelli,No,13,39.2,33.2,36.2,55.3,65.46112116,1553,5390,653,1352,210,773,10,661,0.251,0.332,0.42,0.752,108
Rickey Henderson,Yes,25,111.2,57.6,84.4,53.6,157.4626866,3081,10961,2295,3055,297,1115,1406,2190,0.279,0.401,0.419,0.82,127
Rico Carty,No,15,32.6,27.5,30.1,53.6,56.15671642,1641,5605,712,1677,204,890,21,642,0.299,0.369,0.464,0.833,132
Riggs Stephenson,No,14,32.1,24.2,28.2,53.6,52.6119403,1310,4508,714,1515,63,773,53,494,0.336,0.407,0.473,0.88,129
Roberto Alomar,Yes,17,67.1,42.9,55,57,96.49122807,2379,9073,1508,2724,210,1134,474,1032,0.3,0.371,0.443,0.814,116
Robin Ventura,No,16,56.1,38.7,47.4,55.7,85.09874327,2079,7064,1006,1885,294,1182,24,1075,0.267,0.362,0.444,0.806,114
Robin Yount,Yes,20,77.3,47.3,62.3,55.3,112.6582278,2856,11008,1632,3142,251,1406,271,966,0.285,0.342,0.43,0.772,115
Rocky Colavito,No,14,44.5,35.3,39.9,57.2,69.75524476,1841,6503,971,1730,374,1159,19,951,0.266,0.359,0.489,0.848,132
Rod Carew,Yes,19,81.3,49.8,65.5,57,114.9122807,2469,9315,1424,3053,92,1015,353,1018,0.328,0.393,0.429,0.822,131
Roger Bresnahan,Yes,17,40.9,28.8,34.9,44.2,78.95927602,1446,4481,682,1252,26,530,212,714,0.279,0.386,0.377,0.764,126
Roger Connor,Yes,18,84.3,47,65.6,54.2,121.0332103,1998,7797,1620,2467,138,1323,244,1002,0.316,0.397,0.486,0.883,153
Roger Maris,No,12,38.2,32.3,35.2,57.2,61.53846154,1463,5101,826,1235,275,850,21,652,0.26,0.345,0.476,0.822,127
Roger Peckinpaugh,No,17,45.1,29.1,37.1,55.3,67.08860759,2012,7233,1006,1876,48,740,205,814,0.259,0.336,0.335,0.672,86
Rogers Hornsby,Yes,23,127,73.5,100.3,57,175.9649123,2259,8173,1579,2930,301,1584,135,1038,0.358,0.434,0.577,1.01,175
Ron Cey,No,17,53.8,37.1,45.4,55.7,81.50807899,2073,7162,977,1868,316,1139,24,1012,0.261,0.354,0.445,0.799,121
Ron Fairly,No,21,35.1,24,29.6,54.2,54.61254613,2442,7184,931,1913,215,1044,35,1052,0.266,0.36,0.408,0.768,117
Ron Santo,Yes,15,70.5,53.8,62.2,55.7,111.6696589,2243,8143,1138,2254,342,1331,35,1108,0.277,0.362,0.464,0.826,125
Ross Youngs,Yes,10,32.2,30.3,31.3,57.2,54.72027972,1211,4627,812,1491,42,592,153,550,0.322,0.399,0.441,0.839,130
Roy Campanella,Yes,10,34.1,32.8,33.5,44.2,75.7918552,1215,4205,627,1161,242,856,25,533,0.276,0.36,0.5,0.86,123
Roy McMillan,No,16,25.6,20,22.8,55.3,41.22965642,2093,6752,739,1639,68,594,41,665,0.243,0.314,0.321,0.635,72
Roy Sievers,No,17,25.6,22.7,24.1,54.2,44.46494465,1887,6387,945,1703,318,1147,14,841,0.267,0.354,0.475,0.829,124
Rudy York,No,13,34.7,28.4,31.6,54.2,58.30258303,1603,5891,876,1621,277,1149,38,792,0.275,0.362,0.483,0.845,123
Rusty Staub,No,23,45.8,33.3,39.6,57.2,69.23076923,2951,9720,1189,2716,292,1466,47,1255,0.279,0.362,0.431,0.793,124
Ryan Howard,No,13,14.7,19.2,17,54.2,31.36531365,1572,5707,848,1475,382,1194,12,709,0.258,0.343,0.515,0.859,125
Ryne Sandberg,Yes,16,68,47.1,57.5,57,100.877193,2164,8385,1318,2386,282,1061,344,761,0.285,0.344,0.452,0.795,114
Sal Bando,No,16,61.5,44.4,53,55.7,95.15260323,2019,7060,982,1790,242,1039,75,1031,0.254,0.352,0.408,0.76,119
Sam Chapman,No,11,17.5,17,17.2,58,29.65517241,1368,4988,754,1329,180,773,41,562,0.266,0.342,0.438,0.78,107
Sam Crawford,Yes,19,75.2,39.7,57.5,57.2,100.5244755,2517,9570,1391,2961,97,1523,367,760,0.309,0.362,0.452,0.814,144
Sam Rice,Yes,20,52.7,30.8,41.7,57.2,72.9020979,2404,9269,1514,2987,34,1077,351,708,0.322,0.374,0.427,0.801,112
Sam Thompson,Yes,15,44.4,33.2,38.8,57.2,67.83216783,1410,5998,1261,1988,126,1308,232,452,0.331,0.384,0.505,0.89,147
Sam West,No,16,29.2,22.3,25.8,58,44.48275862,1753,6148,934,1838,75,838,54,696,0.299,0.371,0.425,0.796,104
Sammy Sosa,No,18,58.6,43.8,51.2,57.2,89.51048951,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128
Sandy Alomar,No,20,13.7,13.1,13.4,44.2,30.31674208,1377,4530,520,1236,112,588,25,212,0.273,0.309,0.406,0.716,86
Scott Rolen,Yes,17,70.2,43.7,56.9,55.7,102.1543986,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122
Shano Collins,No,16,11,13.9,12.4,57.2,21.67832168,1799,6390,747,1687,22,708,226,331,0.264,0.306,0.364,0.671,90
Shawn Green,No,15,34.7,31.5,33.1,57.2,57.86713287,1951,7082,1129,2003,328,1070,162,744,0.283,0.355,0.494,0.85,120
Shawon Dunston,No,18,11.5,11,11.2,55.3,20.25316456,1814,5927,736,1597,150,668,212,203,0.269,0.296,0.416,0.712,89
Sherry Magee,No,16,59.3,38.7,49,53.6,91.41791045,2087,7441,1112,2169,83,1176,441,736,0.291,0.364,0.427,0.79,137
Shoeless Joe Jackson,No,13,62.2,52.5,57.4,57.2,100.3496503,1332,4981,873,1772,54,792,202,519,0.356,0.423,0.517,0.94,170
Sibby Sisti,No,13,1.8,3.9,2.9,57,5.087719298,1016,2999,401,732,27,260,30,283,0.244,0.313,0.324,0.637,79
Smoky Burgess,No,18,33.3,23,28.1,44.2,63.57466063,1691,4471,485,1318,126,673,13,477,0.295,0.362,0.446,0.807,116
Solly Hemus,No,11,25.5,25.4,25.5,55.3,46.11211573,961,2694,459,736,51,263,21,456,0.273,0.39,0.411,0.801,115
Sonny Jackson,No,12,1.7,4.8,3.2,55.3,5.786618445,936,3055,396,767,7,162,126,250,0.251,0.308,0.303,0.611,73
Sparky Adams,No,13,15.9,14.7,15.3,57,26.84210526,1424,5557,844,1588,9,394,154,453,0.286,0.343,0.353,0.695,82
Spud Davis,No,16,27.2,21.1,24.1,44.2,54.52488688,1458,4255,388,1312,77,647,6,386,0.308,0.369,0.43,0.799,110
Stan Hack,No,16,52.6,35.2,43.9,55.7,78.81508079,1938,7278,1239,2193,57,642,165,1092,0.301,0.394,0.397,0.791,119
Stan Musial,Yes,22,128.2,64.1,96.2,57.2,168.1818182,3026,10972,1949,3630,475,1951,78,1599,0.331,0.417,0.559,0.976,159
Steve Finley,No,19,44.3,32.1,38.2,58,65.86206897,2583,9397,1443,2548,304,1167,320,844,0.271,0.332,0.442,0.775,104
Steve Garvey,No,19,38.1,28.8,33.4,54.2,61.62361624,2332,8835,1143,2599,272,1308,83,479,0.294,0.329,0.446,0.775,117
Steve O'Neill,No,17,24.2,20.4,22.3,44.2,50.45248869,1590,4795,448,1259,13,534,30,592,0.263,0.349,0.337,0.685,88
Steve Sax,No,14,25.7,21.9,23.8,57,41.75438596,1769,6940,913,1949,54,550,444,556,0.281,0.335,0.358,0.692,95
Steve Yeager,No,15,17.9,14.8,16.4,44.2,37.1040724,1269,3584,357,816,102,410,14,342,0.228,0.298,0.355,0.653,83
Steve Yerkes,No,7,6.9,6.9,6.9,55.3,12.47739602,711,2521,307,676,6,254,54,207,0.268,0.328,0.35,0.677,95
Stuffy McInnis,No,19,34.3,25.3,29.8,54.2,54.98154982,2128,7822,871,2405,20,1063,172,380,0.307,0.343,0.381,0.723,105
Ted Kluszewski,No,15,32.4,29.2,30.8,54.2,56.82656827,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123
Ted Simmons,Yes,21,50.3,34.8,42.6,44.2,96.3800905,2456,8680,1074,2472,248,1389,21,855,0.285,0.348,0.437,0.785,118
Ted Williams,Yes,19,123.1,69.2,96.1,53.6,179.2910448,2292,7706,1798,2654,521,1839,24,2021,0.344,0.482,0.634,1.116,190
Terry Kennedy,No,14,21.6,19.4,20.5,44.2,46.3800905,1491,4979,474,1313,113,628,6,365,0.264,0.314,0.386,0.699,96
Terry Moore,No,11,18.9,17.3,18.1,58,31.20689655,1298,4700,719,1318,80,513,82,406,0.28,0.34,0.399,0.739,99
Terry Pendleton,No,15,28.5,25.4,26.9,55.7,48.29443447,1893,7032,851,1897,140,946,127,486,0.27,0.316,0.391,0.707,92
Terry Puhl,No,15,28.4,23.7,26.1,57.2,45.62937063,1531,4855,676,1381,62,435,217,505,0.28,0.349,0.388,0.737,112
Terry Steinbach,No,14,28,21.6,24.8,44.2,56.10859729,1546,5369,638,1453,162,745,23,418,0.271,0.326,0.42,0.746,102
Terry Turner,No,17,38,28.4,33.2,55.3,60.03616637,1659,5921,699,1499,8,528,256,435,0.253,0.308,0.318,0.626,89
Thurman Munson,No,11,46.1,37,41.6,44.2,94.11764706,1423,5344,696,1558,113,701,48,438,0.292,0.346,0.41,0.756,116
Tim Jordan,No,7,11.3,11.3,11.3,54.2,20.84870849,540,1813,220,474,32,232,48,254,0.261,0.355,0.382,0.737,137
Tim McCarver,No,21,28.3,21.4,24.9,44.2,56.33484163,1909,5529,590,1501,97,645,61,548,0.271,0.337,0.388,0.725,102
Tim Raines,Yes,23,69.4,42.4,55.9,53.6,104.2910448,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123
Tim Salmon,No,14,40.6,31.6,36.1,57.2,63.11188811,1672,5934,986,1674,299,1016,48,970,0.282,0.385,0.498,0.884,128
Tim Wallach,No,17,38.5,30.6,34.6,55.7,62.11849192,2212,8099,908,2085,260,1125,51,649,0.257,0.316,0.416,0.732,102
Tino Martinez,No,16,29,21.8,25.4,54.2,46.86346863,2023,7111,1009,1925,339,1271,27,780,0.271,0.344,0.471,0.815,112
Toby Harrah,No,17,51.4,35.4,43.4,55.7,77.91741472,2155,7402,1115,1954,195,918,238,1153,0.264,0.365,0.395,0.76,114
Todd Helton,No,17,61.2,46.5,53.9,54.2,99.44649446,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133
Tommy Davis,No,18,20.4,20.7,20.6,53.6,38.43283582,1999,7223,811,2121,153,1052,136,381,0.294,0.329,0.405,0.733,108
Tommy Helms,No,14,8.3,10.5,9.4,57,16.49122807,1435,4997,414,1342,34,477,33,231,0.269,0.3,0.342,0.642,79
Tommy Henrich,No,11,35.7,28.1,31.9,57.2,55.76923077,1284,4603,901,1297,183,795,37,712,0.282,0.382,0.491,0.873,132
Tommy Holmes,No,11,34.3,31,32.7,57.2,57.16783217,1320,4992,698,1507,88,581,40,480,0.302,0.366,0.432,0.798,122
Tommy Leach,No,19,47,31,39,55.7,70.01795332,2156,7959,1355,2143,63,812,361,820,0.269,0.34,0.37,0.71,109
Tommy McCarthy,Yes,13,16.2,18.9,17.6,57.2,30.76923077,1273,5120,1066,1493,44,732,468,536,0.292,0.364,0.375,0.74,102
Tommy Thevenow,No,15,-5.3,3.7,-0.8,55.3,-1.446654611,1229,4164,380,1030,2,456,23,210,0.247,0.285,0.294,0.579,51
Tony Cuccinello,No,15,35.3,28,31.7,57,55.61403509,1704,6184,730,1729,94,884,42,579,0.28,0.343,0.394,0.737,104
Tony Fernandez,No,17,45.3,30.5,37.9,55.3,68.53526221,2158,7911,1057,2276,94,844,246,690,0.288,0.347,0.399,0.746,101
Tony Gwynn,Yes,20,69.2,41.3,55.2,57.2,96.5034965,2440,9288,1383,3141,135,1138,319,790,0.338,0.388,0.459,0.847,132
Tony Lazzeri,Yes,14,50,35.1,42.6,57,74.73684211,1740,6297,986,1840,178,1194,148,869,0.292,0.38,0.467,0.846,121
Tony Oliva,Yes,15,43.1,38.6,40.8,57.2,71.32867133,1676,6301,870,1917,220,947,86,448,0.304,0.353,0.476,0.83,131
Tony Pena,No,18,24.7,24.7,24.7,44.2,55.88235294,1988,6489,667,1687,107,708,80,455,0.26,0.309,0.364,0.673,84
Tony Perez,Yes,23,54,36.5,45.3,54.2,83.57933579,2777,9778,1272,2732,379,1652,49,925,0.279,0.341,0.463,0.804,122
Tony Phillips,No,18,50.9,34.1,42.5,57,74.56140351,2161,7617,1300,2023,160,819,177,1319,0.266,0.374,0.389,0.763,109
Torii Hunter,No,19,50.7,30.8,40.7,58,70.17241379,2372,8857,1296,2452,353,1391,195,661,0.277,0.331,0.461,0.793,110
Travis Fryman,No,13,34.4,28.4,31.4,55.7,56.37342908,1698,6481,895,1776,223,1022,72,602,0.274,0.336,0.443,0.779,104
Travis Jackson,Yes,15,44,35.1,39.5,55.3,71.42857143,1656,6086,833,1768,135,929,71,412,0.291,0.337,0.433,0.77,102
Trey Moore,No,11,18.9,17.3,18.1,58,31.20689655,1298,4700,719,1318,80,513,82,406,0.28,0.34,0.399,0.739,99
Tris Speaker,Yes,22,134.1,62.4,98.2,58,169.3103448,2789,10195,1882,3514,117,1531,436,1381,0.345,0.428,0.5,0.928,157
Ty Cobb,Yes,24,151,69.2,110.1,58,189.8275862,3034,11434,2244,4189,117,1944,897,1249,0.366,0.433,0.512,0.945,168
Vada Pinson,No,18,54.3,40,47.2,58,81.37931034,2469,9645,1365,2757,256,1169,305,574,0.286,0.327,0.442,0.769,111
Vic Power,No,12,15.5,17.1,16.3,54.2,30.07380074,1627,6046,765,1716,126,658,45,279,0.284,0.315,0.411,0.725,97
Vic Wertz,No,17,27.4,22,24.7,57.2,43.18181818,1862,6099,867,1692,266,1178,9,828,0.277,0.364,0.469,0.833,121
Vince Coleman,No,13,12.5,13.2,12.9,53.6,24.06716418,1371,5406,849,1425,28,346,752,477,0.264,0.324,0.345,0.668,83
Vinny Castilla,No,16,19.4,20.8,20.1,55.7,36.08617594,1854,6822,902,1883,320,1105,33,423,0.276,0.321,0.476,0.797,95
Vladimir Guerrero,Yes,16,59.4,41.2,50.3,57.2,87.93706294,2147,8155,1328,2590,449,1496,181,737,0.318,0.379,0.553,0.931,140
Wade Boggs,Yes,18,91.4,56.4,73.9,55.7,132.6750449,2439,9180,1513,3010,118,1014,24,1412,0.328,0.415,0.443,0.858,131
Walker Cooper,No,18,28.9,22.9,25.9,44.2,58.59728507,1473,4702,573,1341,173,812,18,309,0.285,0.332,0.464,0.796,116
Wally Berger,No,11,42.1,35.8,38.9,58,67.06896552,1350,5163,809,1550,242,898,36,435,0.3,0.359,0.522,0.881,138
Wally Moon,No,12,24.9,25.7,25.3,53.6,47.20149254,1457,4843,737,1399,142,661,89,644,0.289,0.371,0.445,0.817,118
Wally Moses,No,17,33,24.3,28.7,57.2,50.17482517,2012,7356,1124,2138,89,679,174,821,0.291,0.364,0.416,0.779,109
Wally Pip,No,15,31.5,23.5,27.5,54.2,50.73800738,1872,6914,974,1941,90,1004,125,596,0.281,0.341,0.408,0.749,104
Wally Schang,No,19,45,25.2,35.1,44.2,79.41176471,1842,5307,769,1506,59,705,121,849,0.284,0.393,0.401,0.794,117
Walt Dropo,No,13,3.1,6.6,4.8,54.2,8.856088561,1288,4124,478,1113,152,704,5,328,0.27,0.326,0.432,0.757,100
Walt Weiss,No,14,16.5,16.1,16.3,55.3,29.4755877,1495,4686,623,1207,25,386,96,658,0.258,0.351,0.326,0.677,78
Walton Cruise,No,10,8.6,10.2,9.4,53.6,17.53731343,736,2321,293,644,30,272,49,238,0.277,0.348,0.386,0.733,114
Whitey Lockman,No,15,18.3,19.6,19,53.6,35.44776119,1666,5940,836,1658,114,563,43,552,0.279,0.342,0.391,0.732,95
Whitey Witt,No,10,12.7,13.2,13,58,22.4137931,1139,4171,632,1195,18,300,78,489,0.287,0.362,0.364,0.726,98
Wid Conroy,No,11,21.9,17.7,19.8,55.7,35.5475763,1374,5061,605,1257,22,452,262,345,0.248,0.301,0.329,0.629,91
Will Clark,No,15,56.5,36.1,46.3,54.2,85.42435424,1976,7173,1186,2176,284,1205,67,937,0.303,0.384,0.497,0.88,137
Willie Horton,No,18,26.4,20.6,23.5,53.6,43.84328358,2028,7298,873,1993,325,1163,20,620,0.273,0.332,0.457,0.789,120
Willie Kamm,No,13,35.3,26,30.7,55.7,55.11669659,1693,5851,802,1643,29,827,126,824,0.281,0.372,0.384,0.756,97
Willie Keeler,Yes,19,54.1,36.2,45.2,57.2,79.02097902,2123,8591,1719,2932,33,810,495,524,0.341,0.388,0.415,0.802,127
Willie Mays,Yes,22,156.4,73.7,115,58,198.2758621,2992,10881,2062,3283,660,1903,338,1464,0.302,0.384,0.557,0.941,156
Willie McCovey,Yes,22,64.5,44.9,54.7,54.2,100.9225092,2588,8197,1229,2211,521,1555,26,1345,0.27,0.374,0.515,0.889,147
Willie McGee,No,18,34.2,28.7,31.5,58,54.31034483,2201,7649,1010,2254,79,856,352,448,0.295,0.333,0.396,0.729,100
Willie Randolph,No,18,65.9,36.3,51.1,57,89.64912281,2202,8018,1239,2210,54,687,271,1243,0.276,0.373,0.351,0.724,104
Willie Stargell,Yes,21,57.5,38,47.7,53.6,88.99253731,2360,7927,1194,2232,475,1540,17,937,0.282,0.36,0.529,0.889,147
Willie Wilson,No,19,46.1,34,40.1,58,69.13793103,2154,7731,1169,2207,41,585,668,425,0.285,0.326,0.376,0.702,94
Yogi Berra,Yes,19,59.4,37,48.2,44.2,109.0497738,2120,7555,1175,2159,358,1430,30,704,0.285,0.348,0.482,0.83,125
Zach Wheat,Yes,19,60.2,34.6,47.4,53.6,88.43283582,2410,9106,1289,2884,132,1248,205,650,0.317,0.367,0.45,0.817,129
